"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","mantapp, informasi akurat dan terpercaya","Tourist Information and Guidance","Positive","5","5","5","5","5","5","f5bcd9cf-28b0-488f-80df-f1042ba24d85","Completed",,"29-05-2026 11:09:09",,"87404",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"2","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sangat membantu dan memberikan wawasan baru, sangat keren🫶🏼","Tourist Information and Guidance","Positive","5","5","5","5","5","5","827bad2e-afbd-40fc-9f1e-c83f48f05732","Completed",,"29-05-2026 14:38:36",,"71898",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"3","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sangat bagus banget, jadi tau banyak pengetahuan yang sebelumnya belum saya ketahui, seru banget juga, kakanya baik banget","Tourist Information and Guidance","Positive","5","5","5","5","5","5","5fea37e3-837c-4d24-8629-1fdeaffabc62","Completed",,"29-05-2026 14:38:55",,"83181",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Saran mengenai tujuan LRT agar bisa menggunakan mobil bus yang kapasitas lebih besar, kalau pun menggunakan transportasi mobil, perbanyak unit nya agar tidak menunggu terlalu lama.","Transportation and Shuttle Services","Neutral","5","5","5","5","5","5","e355b551-7c99-4e8a-a5d3-f947f2afc18c","Completed",,"29-05-2026 16:37:15",,"138498",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Lebih ditingkatkan aja",,"Neutral","5","5","5","5","5","5","664a1398-66bb-432c-87e2-e4e0694d3045","Completed",,"29-05-2026 16:37:20",,"110771",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"4","Satisfied","4","lama nunggu shuttle nya, ternyata pas dateng mobil kecil ya tolong sediakan yang lebih bagus lagi","Transportation and Shuttle Services","Negative","4","4","4","4","4","4","9112b096-d090-40fb-9eaf-b031cf8c7029","Completed",,"29-05-2026 17:00:02",,"63391",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"4","Satisfied","4","payah banget antrian lrt nya panjang tapi cuma pake 2 mobil yang kapasitasnya aja seberapa, lama banget","Waiting Time and Queue Management","Negative","4","4","4","4","4","4","69945db8-c40d-4f50-a5e6-45eea5ade8b6","Completed",,"29-05-2026 16:58:21",,"67462",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"4","Satisfied","4","antriannya panjang dan lama ya ini lrt cuma ada 2 mobil kecil lagi, tolong diperbaiki","Waiting Time and Queue Management","Negative","4","4","4","4","4","4","626e3ddb-25f6-49fc-abbb-51a4be5a16c6","Completed",,"29-05-2026 17:01:31",,"50127",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"3","Neutral","3","menunggu LRT sangat lama, masukan mungkin mobilnya bisa hiace","Transportation and Shuttle Services|Waiting Time and Queue Management","Negative","3","3","3","3","4","4","8d3b8fab-5406-4be7-97ad-653f5a5ce17b","Completed",,"29-05-2026 17:04:19",,"68156",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"10","IDM","PRAMBANAN","TOILET","E","IDM-PRAMBANAN-TOILET-E-01",,,,"1","Not Satisfied","1","Toiletnya ga nempel ke lantai ya, pintu jg g bs nutup","Facility Cleanliness and Maintenance","Negative","4","4","3","3","2","2","ebbd0eb8-2989-4847-adb6-3119a602c37f","Completed",,"29-05-2026 10:15:42",,"1131377",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
