"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Jalan santai sambil nikmatin pemandangan paling recommended disini, setiap jalanan dikasih pemandangan yang memanjakan mata, Good job TMII","Environmental Sustainability and Green Initiatives","Positive","5","5","5","5","5","5","7ca5b800-facb-4ab9-9fae-b20cfdf127e9","Completed",,"27-02-2026 16:14:07",,"111988",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-27T09:12:16.2958Z",,,,,,,,,,,,,,,,
"2","IDM","TMII","PUSAT INFORMASI","Antrian Shuttle","IDM-TMII-PUSAT INFORMASI-Antrian Shuttle-01",,,,"5","Satisfied","5","Pelayanan nya bgs. Saya di ksh pinjam kursi roda","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","a4693933-7fc6-4c48-8d00-32a65fcd7358","Completed",,"27-02-2026 16:21:37",,"55510",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-27T09:20:41.3447Z",,,,,,,,,,,,,,,,
"3","IDM","TMII","PUSAT INFORMASI","Antrian Shuttle","IDM-TMII-PUSAT INFORMASI-Antrian Shuttle-01",,,,"5","Satisfied","5","Asik lah tmii ini",,"Positive","5","5","5","5","5","5","f8957ff2-6189-4526-a550-d32e4a171d10","Completed",,"27-02-2026 16:22:09",,"30926",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-27T09:21:38.7594Z",,,,,,,,,,,,,,,,
"4","IDM","TMII","PUSAT INFORMASI","Antrian Shuttle","IDM-TMII-PUSAT INFORMASI-Antrian Shuttle-01",,,,"5","Satisfied","5","Ngabuburit kali ini kami ke TMII. Ternyata disini ada bukber ala-ala piknik ya serubgt!","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","f83aeadb-81ba-4679-a8c4-055e2257074d","Completed",,"27-02-2026 16:23:14",,"62948",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-27T09:22:11.1227Z",,,,,,,,,,,,,,,,
"5","IDM","TMII","HALTE","Halte Bakau","IDM-TMII-HALTE-Halte Bakau -01",,,,"1","Not Satisfied","1","lamaas sekaliii lebih dari 20 mnt","Waiting Time and Queue Management","Negative","3","3","3","3","2","2","ba9fc9e4-2ff9-43c1-ba1a-1077885d0d9c","Completed",,"27-02-2026 14:51:01",,"172781",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-27T07:48:08.9040Z",,,,,,,,,,,,,,,,
