"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","API dan IAS","CGK T3","1","SCP T3 DOM","SCP2.T3.DOM",,,,"5","Satisfied","5","Saya kehilangan KTP atas nama yupitasari. Tolong klo ketemu hub saya 087881442777","Customer Service and Staff Behavior","Negative","5","5","5","5","5","5","0695bdfd-3a2e-4252-8098-4a5ae4970097","Completed",,"04-06-2026 08:26:40",,"114589",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"2","API dan IAS","CGK T3","1","SCP T3 DOM","SCP2.T3.DOM",,,,"5","Satisfied","5",,,,,,,,,,"8c132898-61f2-44dd-83a0-65d5fe716c7c","Partial",,"04-06-2026 08:25:37",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"3","API","SUB","4","T2,A12","SUB-PRAYI-T2-A12",,,,"3","Neutral","3","Agak kurang untuk sajadah nya","Prayer and Musholla Facilities (Availability, Cleanliness, Maintenance)","Negative",,,"3","3","3","3","1933be09-789f-448d-8f57-7a35eee69d1d","Partial",,"04-06-2026 12:45:18",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","CGK T3","1","CHECK IN T3 INT","HCI.T3.INT",,,,"2","Not Satisfied","2","Kecewa dengan pengalaman checkin. Saya checkin di counter garuda indonesia international terminal 3 dengan pekerja bernama Ika jam 7.15 pagi. Saat saya datang, Ika sedang ngobrol dengan sesama pekerja. Saya menyapa Halo, Ika hanya menjawab dengan nada ketus. “Tujuan kemana? Berapa orang yang checkin?”. Saat proses checkin Ika bertanya berapa jumlah bagasi dengan tidak friendly, dan Ika TIDAK MENJELASKAN gate dan jam berapa boarding saat pemberian boarding pass.","Customer Service and Staff Behavior","Negative","1","1","5","5","5","5","88c9401e-994d-4498-8951-bd1707b036dd","Completed",,"04-06-2026 07:52:12",,"1932398",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","CGK T2","1","CHECK IN T2E","API-CHECK IN-CGK T2-HCI E",,,,"5","Satisfied","5",,,,,,,,,,"b53f8ceb-4694-4db7-810f-4a63973c5ea0","Partial",,"04-06-2026 14:41:21",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","CGK T2","1","TOILET T2EF - TRANSIT WANITA","API&IAS-TOILET-CGK T2-TRS EF TW",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","bfb78f81-1bab-4f64-bdab-38e3299a8f88","Completed",,"03-06-2026 16:24:50",,"145584",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","SUB","4","T2,B1,DIFABEL","SUB-TOILE-T2-B1,DIFABEL",,,,"5","Satisfied","5","Very clean and pleasant-smelling","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","d49be0ca-5045-44b9-b861-26b34d8cd52c","Completed",,"03-06-2026 17:47:44",,"137063",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","CGK T3","1","TOILET T3 DOM - ARRIVAL PRIA","D.G.05.P",,,,"5","Satisfied","5","Toilet bersih,bagus & harus","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","a5e2341f-605a-4045-a3f8-2e2b83d67eab","Completed",,"03-06-2026 19:26:04",,"495638",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","CGK T3","1","TOILET T3 DOM - BOARDING ROOM GATE 12 PRIA","D.F.02.P",,,,"5","Satisfied","5","Please improve the smell during peak hours. Your air fresheners aren’t strong enough when the toilets are occupied and although the facilities are decent, air recirculation are quite poor.","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Negative","5","5","5","5","3","3","33068a7c-81dd-42a7-adad-12583f669e2f","Completed",,"03-06-2026 19:31:25",,"160059",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06",,,,"5","Satisfied","5","Bersih dan ramah","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","0060a2ec-8518-4191-876e-4522dad4b443","Completed",,"03-06-2026 20:09:15",,"48621",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
