"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Musholla kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas Musholla kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas Musholla kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Musholla kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Musholla kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Musholla kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Musholla kami","Fasilitas Musholla (Tempat wudhu, Peralatan sholat, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Musholla kami","Numeric_Fasilitas Musholla (Tempat wudhu, Peralatan sholat, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Musholla kami","Akses & Pengelolaan Praying Room-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Musholla kami","Numeric_Akses & Pengelolaan Praying Room-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Musholla kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Fasilitas Musholla kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Fasilitas Musholla kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Akses & Pengelolaan Praying Room kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Akses & Pengelolaan Praying Room kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Campaign Id"
"1","SARINAH","THAMRIN","JAKARTA","MUSHOLLA","SARINAH-THAMRIN-MUSHOLLA-01","5","Satisfied","5","Terima kasih sudah menyediakan fasilitas yang nyaman untuk beribadah","Positive","5","5","5","5","5","5","Berpenampilan rapi dengan seragam jelas|Petugas ramah dan sopan|Cepat tanggap saat membantu pelanggan|Lainnya","Bagus",,,"Sajadah, mukena, sarung, dan Al-Qur’an tersedia dalam kondisi layak|Tempat wudhu bersih, air mengalir lancar, dan saluran pembuangan baik|Mushola memiliki suhu ruangan, ventilasi, dan pencahayaan yang nyaman|Lainnya","Bagus","Ruangan terasa panas/pengap atau pencahayaan buruk|Peralatan ibadah seperti Sajadah, mukena, dan sarung terbatas, kotor, atau rusak|Tempat wudhu kotor, air sering tidak lancar, atau drainase tersumbat|Lainnya","Bagus semua","Mushola bersih, karpet terawat, dan bebas bau tidak sedap|Lokasi mushola mudah ditemukan dengan signage yang jelas|Lainnya","Bagus semua",,,"0b07413b-8721-4694-ba2b-bd7955fc08f4","Completed","New","31-12-2025 12:14:27","Anonymous","129829",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","5276d2a4-6b12-45da-a67c-f64f705796a5",,,"true","False","QrCode","2025-12-31T05:12:18.6290Z",,,,,,,,,,,,,,"68b6ea681f3cc3c03afa5adf"
"2","SARINAH","THAMRIN","JAKARTA","MUSHOLLA","SARINAH-THAMRIN-MUSHOLLA-01","3","Neutral","3","mohon ada nya imam tetap di setiap sholat dr dzuhur smp isya...terima kasih","Positive","5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu pelanggan",,,,"Tempat wudhu bersih, air mengalir lancar, dan saluran pembuangan baik|Sajadah, mukena, sarung, dan Al-Qur’an tersedia dalam kondisi layak|Mushola memiliki suhu ruangan, ventilasi, dan pencahayaan yang nyaman",,,,"Lokasi mushola mudah ditemukan dengan signage yang jelas|Mushola bersih, karpet terawat, dan bebas bau tidak sedap",,,,"47c50f92-732f-4042-9bd1-555b14410075","Completed","New","02-12-2025 20:19:47","Anonymous","324123",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","5276d2a4-6b12-45da-a67c-f64f705796a5",,,"true","False","QrCode","2025-12-02T13:14:22.0460Z",,,,,,,,,,,,,,"68b6ea681f3cc3c03afa5adf"
"3","SARINAH","THAMRIN","JAKARTA","MUSHOLLA","SARINAH-THAMRIN-MUSHOLLA-01","4","Satisfied","4","Baik","Neutral","5","5","4","4","4","4","Berpenampilan rapi dengan seragam jelas",,,,"Tempat wudhu bersih, air mengalir lancar, dan saluran pembuangan baik",,"Peralatan ibadah seperti Sajadah, mukena, dan sarung terbatas, kotor, atau rusak",,"Lokasi mushola mudah ditemukan dengan signage yang jelas",,,,"4e9a8a2b-a72e-418f-bf23-66ffc1aed922","Completed","New","18-11-2025 11:18:04","Anonymous","36226",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","5276d2a4-6b12-45da-a67c-f64f705796a5",,,"true","False","QrCode","2025-11-18T04:17:27.4459Z",,,,,,,,,,,,,,"68b6ea681f3cc3c03afa5adf"
