"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","HALTE","Halte Jawa Timur","IDM-TMII-HALTE-Halte Jawa Timur -01",,,,"2","Not Satisfied","2","Tidak ada informasi detail yang diberikan diawal terkait rute & halte shuttle","Tourist Information and Guidance","Negative","3","3","3","3","3","3","f3b2a477-43f1-4091-9d12-abd7f5571d61","Completed",,"25-04-2026 17:34:14",,"414149",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T10:27:19.7548Z",,,,,,,,,,,,,,,,,
"2","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","db567eba-900e-40b8-b4af-28d44ca25bce","Completed",,"25-04-2026 11:32:42",,"53026",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T04:31:49.1514Z",,,,,,,,,,,,,,,,,
"3","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Tidakk adaa, tour guide nya asikk, menjelaskan dengan detal, jelas, dan ramah","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","3a0d5abc-7d9d-4089-b4b6-fb4b0fc2fc4b","Completed",,"25-04-2026 11:33:07",,"71920",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T04:31:55.3119Z",,,,,,,,,,,,,,,,,
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Seru seruuu sering sering diadain dengan durasi lebih lamaaa","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","e37c3b8c-2381-45ac-8506-628f98d852a3","Completed",,"25-04-2026 11:33:24",,"64765",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T04:32:19.1344Z",,,,,,,,,,,,,,,,,
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sepedanya lebih dirawat aja, guidenya sangat informatif","Tourist Information and Guidance|Activities and Attractions Enhancement","Positive","5","5","4","4","4","4","52ea873c-85d3-44ca-af35-898e6b82e53f","Completed",,"25-04-2026 11:33:58",,"88535",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T04:32:29.5160Z",,,,,,,,,,,,,,,,,
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sudah cukup",,"Neutral","5","5","5","5","5","5","8eed8dd8-8cdb-4245-ba17-ee3d86a15a13","Completed",,"25-04-2026 15:10:46",,"36025",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T08:10:10.4426Z",,,,,,,,,,,,,,,,,
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","-",,"Neutral","5","5","5","5","5","5","06536922-3ae7-47e6-80f9-e68efa52b820","Completed",,"25-04-2026 15:10:52",,"53613",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T08:09:58.4268Z",,,,,,,,,,,,,,,,,
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Semoga ada papan berisikan event apa saja yang ada hari ini","Tourist Information and Guidance","Neutral","5","5","5","5","5","5","f16e63c0-291b-4f4f-9327-d8c61394976c","Completed",,"25-04-2026 15:11:05",,"68457",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T08:09:56.4600Z",,,,,,,,,,,,,,,,,
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Pelayanan sudah sangat baguss","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","c4b8ddc0-36f8-460c-8e59-cc99076c71a1","Completed",,"25-04-2026 15:11:46",,"87184",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T08:10:19.2036Z",,,,,,,,,,,,,,,,,
"10","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sangat seru dan menambah wawasan kita, asik dan menyenangkan sekali","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","86882a57-ce66-4922-97f4-43553f98ef77","Completed",,"25-04-2026 15:11:49",,"115071",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T08:09:51.7714Z",,,,,,,,,,,,,,,,,
"11","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Kaka staff nya baik banget, asik diajak ngobrol, seru cerita tentang taman mini sambil nunggu bus untuk ke LRT 😍👍","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","57a32956-b6f7-467f-90aa-df4b613895d2","Completed",,"25-04-2026 15:12:21",,"3441207",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T07:14:59.8591Z",,,,,,,,,,,,,,,,,
"12","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Untuk pengeras suara saja yang harus diperbesar volumenya, agar yang dibelakang bisa tetap terdengar penjelasannya",,"Neutral","5","5","4","4","5","5","d1b41220-38ef-4bb7-a9b4-7d70b1362c4b","Completed",,"25-04-2026 15:12:37",,"163095",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T08:09:53.2900Z",,,,,,,,,,,,,,,,,
"13","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sangat ramah, pelayanan membuat nyaman. Pengalaman menyenangkan","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","063d54b4-dda4-4f16-81ac-fa7a56332f0d","Completed",,"25-04-2026 15:12:52",,"97526",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T08:11:12.6193Z",,,,,,,,,,,,,,,,,
"14","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","sangat membantu",,"Positive","4","4","4","4","4","4","8ff1916a-0d33-451f-85c7-ba23436a37be","Completed",,"25-04-2026 15:13:37",,"32108",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T08:13:05.6063Z",,,,,,,,,,,,,,,,,
