"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","tour guidenya sudaah baikk sekali dan ramahh sekali","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","f34794a3-4baf-4242-b748-61c7485ba17c","Completed",,"27-03-2026 14:33:36",,"137730",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T07:31:17.9726Z",,,,,,,,,,,,,,,,,
"2","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","sangat puas & mendapat pengetahuan yang banyak dari tour guide dan sangat menyenangkan","Staff Friendliness and Service Quality","Positive","5","5","5","5","4","4","df1c5db4-31e2-41e1-a756-c14a41e25b9f","Completed",,"27-03-2026 14:33:38",,"116302",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T07:31:42.1915Z",,,,,,,,,,,,,,,,,
"3","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","good",,"Neutral","4","4","4","4","5","5","271b23b5-4fa7-45e8-85fa-e93b2d79fbab","Completed",,"27-03-2026 14:34:10",,"143070",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T07:31:47.3525Z",,,,,,,,,,,,,,,,,
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"4","Satisfied","4","tidak ada saran,sangat puas",,"Positive","4","4","4","4","5","5","37789aa3-f841-42ab-af1c-ef3e1ff3cf55","Completed",,"27-03-2026 14:34:37",,"187853",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T07:31:29.7272Z",,,,,,,,,,,,,,,,,
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","sangan informatif dan mencerdaskan bangsa","Tourist Information and Guidance","Positive","5","5","5","5","5","5","3a3951b7-c4c8-4267-8dad-24c5debb1b14","Completed",,"27-03-2026 16:31:44",,"73076",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T09:30:30.1606Z",,,,,,,,,,,,,,,,,
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","so far so good",,"Neutral","5","5","5","5","5","5","ea5fa082-d813-48a6-8c93-97c67741d583","Completed",,"27-03-2026 16:31:55",,"60204",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T09:30:53.8788Z",,,,,,,,,,,,,,,,,
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sangat transparan dan cukup baik","Tourist Information and Guidance","Positive","5","5","5","5","5","5","ad4a763e-bc6c-4e76-91d9-a4bf2d9f8a27","Completed",,"27-03-2026 16:31:55",,"78867",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T09:30:36.1927Z",,,,,,,,,,,,,,,,,
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"4","Satisfied","4","seruu bngt","Activities and Attractions Enhancement","Positive","5","5","4","4","4","4","2c894dc1-5ae6-4742-84c8-32c912ec3ccb","Completed",,"27-03-2026 16:32:20",,"87439",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T09:30:52.2730Z",,,,,,,,,,,,,,,,,
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","semoga lebih bebas lagi main sepeda nya, dan semoga tmii makin rame","Activities and Attractions Enhancement","Neutral","5","5","5","5","5","5","ed233f2f-84a3-4ac6-8e5a-d255057fbe36","Completed",,"27-03-2026 16:33:18",,"76648",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T09:32:00.3873Z",,,,,,,,,,,,,,,,,
"10","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","lebih memperhatikan kenyamanan bagi pemain spedanya",,"Neutral","4","4","5","5","5","5","47f325b6-0232-409d-874e-47aeae56a89c","Completed",,"27-03-2026 16:34:09",,"174387",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-27T09:31:15.3395Z",,,,,,,,,,,,,,,,,
