"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Trigger Time","Response Imports","Campaign Id"
"1","API dan IAS","CGK T3","1","SCP T3 DOM","SCP2.T3.DOM",,,,"5","Satisfied","5","Today we left the passport in the checkpoint. The staff is react very quick and helpful. They kept our passport in safe and return to us. 

The staff name is Ricardo P

Thx","Customer Service and Staff Behavior","Positive","5","5","5","5","5","5","ecedc399-198b-4d1c-8a5d-3ca72d40b713","Completed",,"27-02-2026 22:13:35",,"27355552",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"2","API dan IAS","CGK T2","1","PRAYING ROOM T2E - CORRIDOR ARRIVAL","API-PRAYING ROOM-CGK T2-CCA E PR",,,,"3","Neutral","3","Ac panas terus karpet kan udah tipis tp untung ada sajadah yg lembut , cuma sayang sajadah di perempuan hanya 2… lalu kasihan yg lain ga dpt","Prayer and Musholla Facilities (Availability, Cleanliness, Maintenance)","Negative",,,"3","3","4","4","4cade1fc-f1cd-4631-8f80-9dd8b0e44062","Completed",,"28-02-2026 13:57:41",,"121012",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"3","API","UPG","5","CHECK IN C","UPG-CHECKIN-C",,,,"5","Satisfied","5","Ramah","Customer Service and Staff Behavior","Positive","5","5","5","5","5","5","4e7c8ae5-c11c-4968-8b8c-cf0068ab2628","Completed",,"28-02-2026 12:29:11",,"74956",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P",,,,"5","Satisfied","5","Sangat baik ❤️❤️❤️❤️🫶🏻",,"Positive","5","5","5","5","5","5","e0fed138-d4df-4590-91ec-e2ec2583bc54","Completed",,"27-02-2026 17:55:33",,"66503",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","CGK T3","1","TOILET T3 DOM - ARRIVAL CORRIDOR GATE 15 WANITA","D.G.08.W",,,,"5","Satisfied","5","Toilet ok to keep going","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Neutral","5","5","5","5","5","5","47d21d3b-74b2-4e1b-beff-36ab18594b20","Completed",,"27-02-2026 19:43:20",,"112798",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-6 PRIA","B. BL6. P",,,,"5","Satisfied","5","🌹❤️",,"Positive","5","5","5","5","5","5","19464a31-169d-4e8b-a914-ba2a2da99a1f","Completed",,"27-02-2026 20:35:25",,"47782",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","CGK T2","1","TOILET T2E - DEPARTURE CURBSIDE PRIA","API&IAS-TOILET-CGK T2-PCI E TP",,,,"3","Neutral","3","Toilet kering dan bersih, tong sampah tidak sampai kepenuhan, dan tidak bau pesing","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","3","3","3","3","3","3","b79c2095-f718-4fa3-aca9-5f4d075e0e96","Completed",,"27-02-2026 22:30:56",,"196341",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01",,,,"5","Satisfied","5","mantap",,"Positive","5","5","5","5","5","5","852882cd-e8e6-4eec-af57-782bdb052df3","Completed",,"28-02-2026 01:15:58",,"60084",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04",,,,"5","Satisfied","5","Bersih","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","b37f76d3-c80e-4859-96ef-c36d4ed0bfe8","Completed",,"28-02-2026 07:36:34",,"34720",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","CGK T2","1","TOILET T2D - CURBSIDE KEBERANGKATAN WANITA","API&IAS-TOILET-CGK T2-PCI D TW",,,,"5","Satisfied","5","Mungkin shower",,"Neutral","5","5","5","5","5","5","c9cf4917-cd71-4648-8b2d-4168a1c6ff2d","Completed",,"28-02-2026 08:49:36",,"198793",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
