"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Trigger Time","Response Imports","Campaign Id"
"1","API dan IAS","CGK T3","1","CHECK IN T3 INT","HCI.T3.INT",,,,"1","Not Satisfied","1","Hari ini, sabtu 7 maret 2026 jam 4.45 saya terbang dari palembang ke jakarta, pelayanan saat check in prima, ada 2 petugas: 1 petugas melakukan check in, 1 petugas membantu bagasi seperti pelepasan tanda bagasi lama dan menaikan ke box diconveyor. Setelah tiba di jakarta saya lanjut penerbangan ke semarang, dan saat check in sekitar jam 7.35 di soekarno hatta pelayanan petugas sangat buruk. Perempuan yg pertugas meminta penumpang utk melepas tag bagasi lama sendiri, menyuruh menaikan bagasi ke box conveyor sendiri. Bagaimana bisa ada standard yg berbeda di bandara. Mohon ditertibkan petugas check in dibandara ckg tgl 7 Maret 2026, counter garuda indonesia paling ujung kanan","Check-in Process and Counter Availability","Negative","1","1","5","5","4","4","0cc6502b-2559-4e7c-9af8-fb0326b78ce7","Completed",,"07-03-2026 07:49:52",,"504715",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"2","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04",,,,"5","Satisfied","5","Sudah maksimal",,"Positive","5","5","5","5","5","5","06233f2e-2fd9-4069-9a3d-37d1ab2ced77","Completed",,"06-03-2026 15:57:47",,"37993",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"3","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06",,,,"5","Satisfied","5","Petugas ramah","Customer Service and Staff Behavior","Positive","5","5","5","5","5","5","569185d7-48ed-4256-8c8e-6faae52b0788","Completed",,"06-03-2026 16:08:45",,"26189",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5","goog",,"Neutral","5","5","5","5","5","5","c4263331-6e54-46d8-8725-b0cc39254430","Completed",,"06-03-2026 23:34:05",,"170025",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P",,,,"5","Satisfied","5","Sangat terbaik dan sangat bersih.dan ob nya juga ramah sekali","Environmental Comfort (Air Conditioning, Temperature, Air Quality, Ventilation)|Customer Service and Staff Behavior","Positive","5","5","5","5","5","5","bd8f051d-e9b7-4397-a1bd-882c144e5687","Completed",,"07-03-2026 02:18:07",,"125947",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","CGK T2","1","TOILET T2D - CURBSIDE KEBERANGKATAN WANITA","API&IAS-TOILET-CGK T2-PCI D TW",,,,"5","Satisfied","5","bagus",,"Positive","5","5","5","5","5","5","248f4ad6-014b-43ce-a753-563e1185c9ae","Completed",,"07-03-2026 05:46:28",,"118164",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","KNO","3","TOILET,D4 PRIA","KNO-TP-D04",,,,"5","Satisfied","5","Sudah bagus",,"Positive","5","5","5","5","5","5","3de13dd1-0eb7-4ec5-b049-c64bda50d74d","Completed",,"07-03-2026 08:11:39",,"120117",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02",,,,"5","Satisfied","5","𝘛𝘰𝘪𝘭𝘦𝘵 𝘯𝘺𝘢 𝘣𝘦𝘳𝘴𝘪𝘩 𝘱𝘦𝘵𝘶𝘨𝘢𝘴 𝘯𝘺𝘢 𝘳𝘢𝘮𝘢𝘩","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","b24ed65f-0608-4d9e-8bff-b6bcee3a7656","Completed",,"07-03-2026 08:48:41",,"32139",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04",,,,"5","Satisfied","5","Toilet nya bersih petugas nya ramah","Customer Service and Staff Behavior|Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","19c299ff-c7f7-431a-9b98-a44a44270327","Completed",,"07-03-2026 09:31:58",,"20800",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","CGK T3","1","TOILET T3 DOM - BOARDING ROOM GATE 16 PRIA","D.F.06.P",,,,"5","Satisfied","5","Keren",,"Positive","5","5","5","5","5","5","93e96efd-98d0-41c5-a9d2-f6a328fcd714","Completed",,"07-03-2026 14:17:54",,"42906",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
