"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","API dan IAS","CGK T2","1","CHECK IN T2D","API-CHECK IN-CGK T2-HCI D",,,,"5","Satisfied","5","Everything is okay","Environmental Comfort (Air Conditioning, Temperature, Air Quality, Ventilation)","Positive","5","5","5","5","5","5","107f4374-4ab1-456f-916a-f1bc391cf6d3","Completed",,"14-03-2026 16:04:47",,"144795",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"2","API dan IAS","CGK T2","1","CHECK IN T2E","API-CHECK IN-CGK T2-HCI E",,,,"1","Not Satisfied","1","Lama, karyawan kalau ditanya tidak tau apa apa.. Udah diarahkan ke antri bagasi kosong PETUGAS NGK ADA.. ANEH TERUTAMA SUPER AIR JET.","Customer Service and Staff Behavior","Negative","1","1","1","1","1","1","e8c81f4c-4470-46d2-9e85-9899be00595d","Completed",,"15-03-2026 05:05:42",,"88779",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"3","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03",,,,"5","Satisfied","5","sangat nyaman","Environmental Comfort (Air Conditioning, Temperature, Air Quality, Ventilation)","Positive","5","5","5","5","5","5","37833ac6-d93b-464e-a764-3e5597a5b418","Completed",,"14-03-2026 19:07:53",,"40285",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03",,,,"5","Satisfied","5","keren bersih","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","f6ccacf2-4e8c-4edb-acfc-2b77dee84793","Completed",,"14-03-2026 19:08:02",,"31738",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06",,,,"5","Satisfied","5","Lantai bersih dan keadaan dalam toiletnya harum, akan tetapi yg di sayangi, tisu di dalam toiletnya perlu di perhatikan","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Neutral","3","3","3","3","3","3","a9752b85-94e3-43a7-a58d-dfde7283d310","Completed",,"14-03-2026 19:49:27",,"269258",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-6 PRIA","B. BL6. P",,,,"5","Satisfied","5","Diadakan kursi untuk petugas dalam area kamar kecil dan sabun cuci tangan sebisa mungkin memakai sabun. Terimakasih","Check-in Process and Counter Availability","Positive","5","5","5","5","5","5","38efd3d3-69e9-4248-9f8b-dde41ea67111","Completed",,"14-03-2026 20:14:28",,"167247",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01",,,,"4","Satisfied","4",,,,"1","1","4","4","4","4","2c289c2c-621d-4638-ad2e-3dcf2aa611db","Completed",,"15-03-2026 05:04:20",,"141379",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","693b136b-cea0-49d9-a621-c2716f2692c4","Completed",,"15-03-2026 05:09:49",,"35933",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5","Petugas sangat ramah ,mushola dan toiletnya bersih","Prayer and Musholla Facilities (Availability, Cleanliness, Maintenance)","Positive","5","5","5","5","5","5","6653e473-d5a3-499e-97e3-f234331ca874","Completed",,"15-03-2026 05:35:34",,"163853",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5","perfect","Environmental Comfort (Air Conditioning, Temperature, Air Quality, Ventilation)","Positive","5","5","5","5","5","5","69024b5f-4b93-4c23-8d0c-9ccd3247b823","Completed",,"15-03-2026 05:36:43",,"66130",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
