"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","API","SUB","4","T2, CENTRALIZE","SUB-SCP-T2- CENTRALIZE",,,,"4","Satisfied","4",,,,,,,,,,"8041e8b9-c10d-4bce-8c15-b1afa4c19836","Partial",,"01-05-2026 11:24:12",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"2","API","SUB","4","T2, CENTRALIZE","SUB-SCP-T2- CENTRALIZE",,,,"5","Satisfied","5","-",,"Positive",,,,,,,"62bb2185-8548-4067-9bbf-ad80b8a97d87","Partial",,"01-05-2026 11:26:23",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"3","API dan IAS","CGK T2","1","CHECK IN T2D","API-CHECK IN-CGK T2-HCI D",,,,"1","Not Satisfied","1","Check in process was very long and very late. Peoples need to wait for 1-2 hours due to limited counters open for passengers","Check-in Process and Counter Availability","Negative","4","4","1","1","1","1","03778f7f-0bad-4d41-ab7c-939954bac2fb","Completed",,"01-05-2026 00:32:26",,"176568",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","CGK T2","1","CHECK IN T2E","API-CHECK IN-CGK T2-HCI E",,,,"2","Not Satisfied","2",,,,,,,,,,"76370598-5567-40e1-8aee-10d6d65614b1","Partial",,"01-05-2026 07:53:39",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","CGK T2","1","CHECK IN T2E","API-CHECK IN-CGK T2-HCI E",,,,"1","Not Satisfied","1","Ruang cekinnya padat","Waiting Area Comfort and Seating Arrangements","Negative","4","4","2","2","1","1","27c2d9dd-2e00-4d4d-9dbd-2eeb1f7875ff","Partial",,"01-05-2026 09:34:07",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","KNO","3","TOILET,A3 PRIA","KNO-TP-A03",,,,"5","Satisfied","5","Toilet nya bersih petugas nyaramah","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","5adba4b4-25cc-4c2c-9eb1-3828935cdbf9","Completed",,"30-04-2026 15:48:58",,"36289",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","56abcf37-1a80-4bde-9f26-143649811f2f","Completed",,"30-04-2026 16:01:11",,"27067",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","CGK T2","1","TOILET T2D - ARRIVAL CORRIDOR WANITA","API&IAS-TOILET-CGK T2-CCA D TW",,,,"5","Satisfied","5","Mohon utk dipertahankan kebersihan dan “lantai yang kering”. Terima kasih semua staff toilet d bandara seluruh Indonesia","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","47ff5613-061e-4713-90d4-560c24f0659f","Completed",,"30-04-2026 16:26:07",,"700097",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","CGK T3","1","TOILET T3 DOM - BOARDING ROOM GATE 13 PRIA","D.F.03.P",,,,"5","Satisfied","5","Toilet kering & wangi","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","330658f2-f873-4af9-8786-ed9762a85db7","Completed",,"30-04-2026 16:47:31",,"92754",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","CGK T2","1","TOILET T2EF - TRANSIT WANITA","API&IAS-TOILET-CGK T2-TRS EF TW",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","0a2919d5-c324-4d4d-9b61-3219b0dc933d","Completed",,"30-04-2026 17:26:47",,"34376",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
