"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01",,,,"2","Not Satisfied","2","Kotor, .... tudak ada kontrol dari manajemen.....pekerja bejerja asalan","Staff Friendliness and Service Quality","Negative","2","2","2","2","2","2","06e27753-0260-47fd-8b26-0c4e9987f5a3","Completed",,"11-04-2026 09:14:14",,"543304",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T02:05:10.0401Z",,,,,,,,,,,,,,,,,
"2","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"4","Satisfied","4","sangatt bagus",,"Positive","5","5","5","5","5","5","562bb24d-4084-49aa-a479-849a56410012","Completed",,"11-04-2026 10:13:00",,"98615",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T03:11:21.7547Z",,,,,,,,,,,,,,,,,
"3","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Seru ramai byk acara juga disini","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","090fae02-2c0e-42e1-9ae5-b2ad9ef66678","Completed",,"11-04-2026 10:55:38",,"58453",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T03:54:39.7527Z",,,,,,,,,,,,,,,,,
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Udah banyak berubah taman mini jadi lebih bagus saat ini","Facility Cleanliness and Maintenance","Positive","5","5","5","5","5","5","ca09846f-6556-498d-8eef-39e7703c497a","Completed",,"11-04-2026 11:06:50",,"669852",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T03:55:40.6539Z",,,,,,,,,,,,,,,,,
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"4","4","4","4","5","5","bfd04c9f-4e77-4e40-a18b-5d355863c330","Completed",,"11-04-2026 11:20:29",,"100780",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T04:18:46.8483Z",,,,,,,,,,,,,,,,,
"6","IDM","TMII","PUSAT INFORMASI","Antrian Shuttle","IDM-TMII-PUSAT INFORMASI-Antrian Shuttle-01",,,,"5","Satisfied","5","Saya disambut dgn baik oleh kakak2 disini, pelayanannya baik, tempatnya juga ramah untuk bawa anak. Semoga kedepannya semakin baik lagi tmii!","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","2132e111-8ca5-49c1-b289-94bf3e19b2ec","Completed",,"11-04-2026 12:57:08",,"95967",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T05:55:31.4416Z",,,,,,,,,,,,,,,,,
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sudah ok",,"Neutral","5","5","5","5","5","5","283206f0-435a-4efb-9ceb-089da4504ba4","Completed",,"11-04-2026 13:13:49",,"45000",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T06:13:04.1807Z",,,,,,,,,,,,,,,,,
"8","IDM","TMII","PUSAT INFORMASI","Antrian Shuttle","IDM-TMII-PUSAT INFORMASI-Antrian Shuttle-01",,,,"5","Satisfied","5","Nice! Aku suka banged",,"Positive","5","5","5","5","5","5","914bf73c-3e76-49a8-b300-5c97fdc85f49","Completed",,"11-04-2026 13:25:41",,"33626",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T06:25:07.7782Z",,,,,,,,,,,,,,,,,
"9","IDM","TMII","PUSAT INFORMASI","Antrian Shuttle","IDM-TMII-PUSAT INFORMASI-Antrian Shuttle-01",,,,"5","Satisfied","5","Pengalaman yg menarik ajak keluarga keisini krna edukatif jg. Good job tmii","Tourist Information and Guidance|Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","f9142d48-b05d-4b4e-a786-ab992ba7e840","Completed",,"11-04-2026 13:26:50",,"52759",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T06:25:58.1726Z",,,,,,,,,,,,,,,,,
"10","IDM","TMII","PUSAT INFORMASI","Antrian Shuttle","IDM-TMII-PUSAT INFORMASI-Antrian Shuttle-01",,,,"5","Satisfied","5","Oke yah",,"Neutral","5","5","5","5","5","5","43410df7-366a-466b-8f27-3af2d39bdd09","Completed",,"11-04-2026 13:27:19",,"26886",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-11T06:26:52.5987Z",,,,,,,,,,,,,,,,,
