"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","PUSAT INFORMASI","Antrian Shuttle","IDM-TMII-PUSAT INFORMASI-Antrian Shuttle-01",,,,"5","Satisfied","5","Asik fun bgt!",,"Positive","5","5","5","5","5","5","10dcc047-e223-4750-9512-a4dd5249388b","Completed",,"28-02-2026 11:11:48",,"24294",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T04:11:23.1190Z",,,,,,,,,,,,,,,,
"2","IDM","TMII","PUSAT INFORMASI","Antrian Shuttle","IDM-TMII-PUSAT INFORMASI-Antrian Shuttle-01",,,,"5","Satisfied","5","Baik dan sopan staff nya","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","6b89a1c2-7e59-4be7-b0db-dc3ba2b3cfd7","Completed",,"28-02-2026 11:12:36",,"46411",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T04:11:50.1188Z",,,,,,,,,,,,,,,,
"3","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","We had an amazing experience with Rama our tour guide. He had so such knowledge and was very friendly. I would definitely recommend a personal tour with Rama.","Tourist Information and Guidance|Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","bfb220c2-786d-44d2-b5e9-855de094e61a","Completed",,"28-02-2026 14:03:47",,"130835",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T07:01:34.8146Z",,,,,,,,,,,,,,,,
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","We came all the way from Brisbane Australia and decided to take a private tour with Rama, what an amazing experience this was. We had so much fun with Rama. He was extremely knowledgeable and super friendly. We will recommend to all of our friends to take this experience. Thank you Rama for a wonderful day. Thanks Edin","Tourist Information and Guidance|Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","c16f8df2-305f-477e-b15a-1b3b7b4d12a3","Completed",,"28-02-2026 14:04:41",,"195608",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T07:01:22.6813Z",,,,,,,,,,,,,,,,
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","sudah baik baik kakaknya","Staff Friendliness and Service Quality","Neutral","5","5","5","5","5","5","5bb0ecb0-701e-41fd-8690-c2fee67a90c8","Completed",,"28-02-2026 16:56:28",,"51192",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T09:55:36.8701Z",,,,,,,,,,,,,,,,
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","3af9a966-8362-4599-9402-f2d6b6de2e2f","Completed",,"28-02-2026 16:57:01",,"86781",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T09:55:35.0311Z",,,,,,,,,,,,,,,,
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","8faf89be-1a21-49a6-8c04-d5c25c3f2cf6","Completed",,"28-02-2026 16:57:09",,"63154",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T09:56:05.6661Z",,,,,,,,,,,,,,,,
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sepeda anak tidak ada, anakku rada kecewa pas ride free","Activities and Attractions Enhancement","Negative","5","5","5","5","5","5","c2971c0c-82e8-4cd4-9ac1-4118e18a4e86","Completed",,"28-02-2026 16:59:16",,"68694",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T09:58:08.1346Z",,,,,,,,,,,,,,,,
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","program ngabuburitnya seru dan keren disediakan pemandu dan mobil gratis untuk keliling semoga tur bisa lebih panjang","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","73662dc9-25d8-4d0d-8008-b4c64fd31223","Completed",,"28-02-2026 17:48:48",,"215438",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T10:45:12.1218Z",,,,,,,,,,,,,,,,
"10","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","program ramadannya seru seru","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","a0f853f5-02df-48b2-a668-e217bd9f1600","Completed",,"28-02-2026 17:49:27",,"225246",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-02-28T10:45:41.8577Z",,,,,,,,,,,,,,,,
