"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"11","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","d2e2e8f4-63bb-4fd2-b67e-d2093df8e2cb","Completed",,"21-05-2026 05:00:10",,"85300",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"12","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP PRIA","CCD. B1",,,,"4","Satisfied","4","Agar pada urinoir pria diberikan tambahan kaca atau plastik tambahan untuk mencegah cipratan pipis","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Negative","5","5","4","4","4","4","eab5f502-3503-4753-a635-9eda904f8155","Completed",,"21-05-2026 05:08:13",,"63186",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"13","API dan IAS","CGK T3","1","TOILET T3 DOM - ARRIVAL CORRIDOR GATE 13 PRIA","D.G.06.P",,,,"5","Satisfied","5","Toilet bersih & wangi","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","41d63016-3df1-4efa-834e-9d0b62be5b6d","Completed",,"21-05-2026 06:58:56",,"198199",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"14","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5","Bersi dan rapi semogah di pertahankan","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","67d81b66-0f23-4710-ac1c-64bf2c4999df","Completed",,"21-05-2026 07:30:48",,"65706",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"15","API dan IAS","BPN","6","TOILET C3 - WANITA","BPN-TOILET-C3-W",,,,"5","Satisfied","5","sangat bersih","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","ce801282-a252-400d-88f7-a548eaee754d","Completed",,"21-05-2026 08:01:01",,"47341",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"16","API dan IAS","UPG","5","TOILET 3A CHECK IN PRIA","UPG-TOILET-3A_P",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","22ab4b85-622a-4b71-9a9f-df0c3fc28839","Partial",,"21-05-2026 09:03:35",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"17","API dan IAS","CGK T3","1","TOILET T3 DOM - ARRIVAL CURBSIDE WANITA","D.G.02.W",,,,"5","Satisfied","5","Toilet bagus,bersih & harum","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","92b91d2d-6c2d-4e8b-b4c7-22ff11c76c05","Completed",,"21-05-2026 10:40:44",,"34182",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"18","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5",,,,,,,,,,"81e983a6-e9c1-4e5d-8916-eafdccc1f13a","Partial",,"21-05-2026 10:15:39",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"19","API dan IAS","KNO","3","TOILET,A3 PRIA","KNO-TP-A03",,,,"5","Satisfied","5","Sangatt nyaman dan bersih","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","6fd0093a-aa7a-4a9d-94cd-2fc7271c18cb","Completed",,"21-05-2026 11:13:30",,"87463",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"20","API dan IAS","BPN","6","TOILET C1 - WANITA","BPN-TOILET-C1-W",,,,"2","Not Satisfied","2","area menuju toilet bau septiktenk","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Negative","5","5","5","5","5","5","c755cd38-c042-4625-9eab-7b820ad81c65","Completed",,"21-05-2026 11:24:46",,"234763",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"21","API dan IAS","CGK T2","1","TOILET T2E - DEPARTURE CURBSIDE PRIA","API&IAS-TOILET-CGK T2-PCI E TP",,,,"5","Satisfied","5",,,,,,,,,,"5f0997a7-abe1-441f-aa71-1f21764cceea","Partial",,"21-05-2026 10:51:43",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"22","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5","Kondisi kebersihan sangat baik, consistency please!","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","a38a5169-a630-47e5-949c-ca5480d67b10","Completed",,"21-05-2026 12:07:22",,"206547",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"23","API","SUB","4","T1,PERKANTORAN 5 GATE 7,PRIA","SUB-TOILE-T1-PERKANTORAN 5 GATE 7",,,,"4","Satisfied","4",,,,,,,,,,"52e44f24-9836-4389-84c5-29f0a29eb8e1","Partial",,"21-05-2026 13:05:43",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"24","API dan IAS","CGK T3","1","TOILET T3 DOM - BOARDING ROOM GATE 16 PRIA","D.F.06.P",,,,"5","Satisfied","5","Toilet bersih kering dan wangi","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","edb13b1e-3082-4949-b0b4-45945909cd2f","Completed",,"21-05-2026 15:32:57",,"122762",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
