"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","API","BPN","6","SCP INTERNASIONAL","BPN-SCP-I",,,,"4","Satisfied","4",,,,"4","4","4","4","4","4","b6592cc6-2178-4aad-8c28-51261792cc85","Completed",,"19-05-2026 10:12:23",,"30528",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"2","API dan IAS","CGK T2","1","SCP T2D","API-SCP-CGK T2-SCP 2D",,,,"3","Neutral","3","Mengatur, mengawasi dan pastinya juga mengontrol","Customer Service and Staff Behavior","Neutral","4","4","4","4","4","4","6874252f-a90c-4713-aa54-0e4017d264eb","Completed",,"19-05-2026 10:52:55",,"275643",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"3","API dan IAS","CGK T3","1","CHECK IN T3 INT","HCI.T3.INT",,,,"1","Not Satisfied","1","Petugas sangat tidak membantu,,","Customer Service and Staff Behavior","Negative","1","1","1","1","1","1","382f176e-5f9d-4496-b7f8-d1aac7699381","Completed",,"19-05-2026 14:19:31",,"745091",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","CGK T1","1","TOILET T1B - BAGGAGE CLAIM PRIA","B.HCO.P",,,,"5","Satisfied","5","Ramah2 petugasnya","Customer Service and Staff Behavior","Positive","5","5","5","5","5","5","18208c83-86f9-4d9f-a9ae-14f7789040bf","Completed",,"18-05-2026 18:29:46",,"44039",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04",,,,"5","Satisfied","5",,,,,,,,,,"075328d4-2ae0-4263-b571-4d7f836c0124","Partial",,"18-05-2026 19:45:37",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","SUB","4","T2,A8,PRIA","SUB-TOILE-T2-A8,PRIA",,,,"5","Satisfied","5",,,,,,,,,,"cb7b3b36-4b9c-4016-9f5e-48868515395b","Partial",,"19-05-2026 00:34:00",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","CGK T3","1","TOILET T3 DOM - ARRIVAL CURBSIDE PRIA","D.G.02.P",,,,"4","Satisfied","4","𝙱𝚎𝚛𝚜𝚒𝚑","Environmental Comfort (Air Conditioning, Temperature, Air Quality, Ventilation)","Positive",,,,,,,"f43b0a5e-9e2f-4b61-a03f-46d81e14d8ca","Partial",,"19-05-2026 02:39:34",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","CGK T2","1","TOILET T2D - CURBSIDE KEBERANGKATAN WANITA","API&IAS-TOILET-CGK T2-PCI D TW",,,,"1","Not Satisfied","1","Tolong sediakan WC jongkok dan bila perlu sediakan WC khusus muslim yang ada air bersih mengalir sekian terimakasih","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Neutral","5","5","3","3","5","5","69fec6b9-25e0-49c5-b5f6-682c78ef5abd","Completed",,"19-05-2026 08:06:10",,"122162",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01",,,,"5","Satisfied","5","Bersih OB nya ramah","Customer Service and Staff Behavior","Positive","5","5","5","5","5","5","5167eba6-55af-4090-8beb-f4dede8f0a8e","Completed",,"19-05-2026 08:29:17",,"66228",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04",,,,"5","Satisfied","5",,,,,,,,,,"838140d9-202d-44f6-bfef-348f73960c4e","Partial",,"19-05-2026 08:03:32",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"11","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5","Dibuat wangi, pada saat saya masuk tidak wangi","Environmental Comfort (Air Conditioning, Temperature, Air Quality, Ventilation)","Neutral","5","5","5","5","5","5","60d4b898-0e04-4677-b8f3-d8be79a50f7c","Completed",,"19-05-2026 11:08:36",,"78052",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"12","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06",,,,"5","Satisfied","5","Bersih dan nyaman","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","b8070e7d-24c3-4a62-89ed-cc9af443e765","Completed",,"19-05-2026 11:46:28",,"63553",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"13","API dan IAS","SUB","4","T1,GATE 6 CONCOURSE 7,PRIA","SUB-TOILE-T1-GATE 6 CONCOURSE 7,P",,,,"5","Satisfied","5","good",,"Positive","4","4","4","4","4","4","19fdb6c6-09b4-4288-8aa9-1672234ccfe6","Completed",,"19-05-2026 11:50:53",,"86092",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"14","API dan IAS","CGK T3","1","TOILET T3 DOM - BOARDING ROOM GATE 13 WANITA","D.F.03.W",,,,"4","Satisfied","4","Bagus",,"Positive","4","4","4","4","4","4","e9f6dd77-8932-43da-bdd4-99aec88199f3","Completed",,"19-05-2026 12:09:25",,"464753",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"15","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05",,,,"1","Not Satisfied","1",,,,,,,,,,"0bf4c0c4-069a-4464-b81c-63b36677f714","Partial",,"19-05-2026 11:40:18",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"16","API dan IAS","CGK T2","1","TOILET T2D - CURBSIDE KEBERANGKATAN WANITA","API&IAS-TOILET-CGK T2-PCI D TW",,,,"5","Satisfied","5",,,,,,,,,,"adfaa3d0-9c40-49ba-b36d-c3275a4b182c","Partial",,"19-05-2026 13:42:04",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"17","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5","Ok",,"Neutral","5","5","5","5","5","5","ee07be34-402c-45e7-a931-17dd46ebed31","Completed",,"19-05-2026 14:51:29",,"33212",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
