"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Trigger Time","Response Imports","Campaign Id"
"1","API dan IAS","CGK T2","1","SCP T2E","API-SCP-CGK T2-SCP 2E",,,,"3","Neutral","3","Saya berharap pengecekan di lakulan sesuai gender dan lbh teliti dan mnyeluruh krna kebnykn hnya formalitas tidak seperti di negara lain bener2 di cek teliti dan di cek sesuai gender laki laki berarti yg mengecek laki","Security Checkpoint Efficiency and Procedures","Negative","3","3","2","2","2","2","6907e74e-98fd-4d2b-913b-7137a08c5c3a","Completed",,"04-03-2026 07:57:21",,"239940",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"2","API","YIA","4","BOARDING LOUNGE DOMESTIK / GATE 1B","YIA-BR1B",,,,"5","Satisfied","5","Dengan semakin sibuknya YIA, secara bertahap YIA dapat beralih ke bandara yang lebih menghormati ketenangan dalam artian pengumuman dengan pengeras suara yang dilakukan berkali-kali (3 bahasa, masuk ke ruang tunggu, boarding, final call, orang2 yg terlambat dll.) dikurangi. Terlalu berisik. Biarkan penumpang lebih bertanggung jawab atas kehadiran/keterlambatan mereka.","Environmental Comfort (Air Conditioning, Temperature, Air Quality, Ventilation)|Signage, Wayfinding, and Information Clarity","Negative","5","5","5","5","5","5","a3fd521d-f713-485e-8e2d-61ed4ac81d9a","Completed",,"03-03-2026 19:50:42",,"674993",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"3","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06",,,,"4","Satisfied","4","Cukup bersih,ditingkatkan terus pelayanannya 🙏","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","4","4","4","4","4","4","74611105-1769-4449-92f7-87a707166898","Completed",,"03-03-2026 16:15:47",,"149545",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-6 PRIA","API&IAS-TOILET-CGK T2-BL D6 TP",,,,"5","Satisfied","5","Parfum toilet yang wangi kopi","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Neutral","5","5","4","4","4","4","4e3e59ac-13ac-436f-9224-3724ab95cf13","Completed",,"03-03-2026 19:02:27",,"1422638",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP",,,,"4","Satisfied","4",,,,"4","4","4","4","4","4","cdc303be-cd65-484b-a493-d1afa8fe8c37","Completed",,"03-03-2026 19:05:52",,"101116",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04",,,,"5","Satisfied","5","Very polite workers . Especially one short guy with big smile ! He needs a raise !","Customer Service and Staff Behavior","Positive","5","5","5","5","5","5","ba876e0f-4e65-47ba-a8db-b76b11d3b10b","Completed",,"03-03-2026 19:59:38",,"100119",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","5b8ac866-4cf6-4d35-bb28-a1a2cc4ee841","Completed",,"03-03-2026 23:57:38",,"39110",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","KNO","3","TOILET,P5 WANITA","KNO-TW-P05",,,,"5","Satisfied","5","Keren OB yang jaga didepan gate 9 pagi ini 4 maret 2026. Mantep dan sukses ya bang","Operational Efficiency and Overall Satisfaction (Flight Punctuality, Service Quality, Facility Improvements)","Positive","5","5","5","5","5","5","81158e39-1076-4ac8-a93e-4ed3cea917e8","Completed",,"04-03-2026 07:31:36",,"98724",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","CGK T1","1","TOILET T1B - PARKIR PRIA","Toilet Parkir B - Pria",,,,"5","Satisfied","5","Mohon utk ada 2 (dua) tempat buang air kecil agar dipasang penghalang dari fiber supaya air kencing tidak muncrat kemana mana. Terima kasih","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Negative","5","5","5","5","5","5","14d6d9d7-8f3f-4e57-b017-1ba9c03eb674","Completed",,"04-03-2026 10:57:16",,"327718",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
