"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Fasilitas Toilet kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Fasilitas Toilet kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Alur & Pengelolaan Toilet kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Alur & Pengelolaan Toilet kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Campaign Id"
"1","API dan IAS","SUB","4","T1,GATE 3,WANITA","SUB-TOILE-T1-GATE 3,WANITA","4","Satisfied","4","Tempat sampah pijakan kakinya untuk diperbaiki agar memudahkan membuang sampah","Facility Maintenance and Upkeep","Neutral","4","4","4","4","4","4","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas",,,,"Ketersediaan tisu, sabun, air, dan hand dryer|Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik",,,,"Jumlah toilet mencukupi sehingga tidak ada antrean",,,,"8c5b22d5-012f-44c5-8c2a-c9655e1f3245","Completed","New","18-12-2025 15:09:46","Anonymous","216696",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-18T08:06:09.0224Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"2","API dan IAS","CGK T3","1","TOILET T3 INT - ARRIVAL CORRIDOR BBKK-IMIGRASI PRIA","I.G.05.P","5","Satisfied","5","sangat bersih dan rapi tugasnya pun ramah menerapkan senyum salam dan sapa","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas",,,,"Ketersediaan tisu, sabun, air, dan hand dryer|Penerangan dan sirkulasi udara toilet baik",,,,"Lokasi toilet mudah terlihat dan terjangkau",,,,"ef3c6426-3931-429e-b410-a822a0582bc1","Completed","New","18-12-2025 13:44:17","Anonymous","164998",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","English","2025-12-18T06:41:31.4627Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"3","API dan IAS","SUB","4","T1,GATE 1,WANITA","SUB-TOILE-T1-GATE 1,WANITA","3","Neutral","3","Beberapa petugas berdandan di washtafel  toilet, hingga menyisakan 1 washtafel untuk anak. Buat orang dewasa jd susah cuci tangan","Facility Maintenance and Upkeep","Negative","4","4","4","4","3","3","Lainnya","Jumlah bilik banyak",,,"Ketersediaan tisu, sabun, air, dan hand dryer",,,,,,"Kondisi toilet kotor karena jadwal pembersihan tidak jelas",,"b89cc9f2-b666-4570-a9f2-793494dd2a73","Completed","New","18-12-2025 12:40:53","Anonymous","120770",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-18T05:38:32.0457Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"4","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Satisfied","5","Very of good from the Services","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Cepat tanggap saat membantu penumpang",,,,"Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik",,,,"Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih",,,,"c1e706bf-17c9-40d5-bc6d-0c8809304448","Completed","New","18-12-2025 12:34:19","Anonymous","45209",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","English","2025-12-18T05:33:33.1555Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"5","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-6 PRIA","API&IAS-TOILET-CGK T2-BL D6 TP","5","Satisfied","5","Bagus",,"Positive","5","5","5","5","5","5","Petugas ramah dan sopan",,,,"Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik",,,,"Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih",,,,"98cf0cea-ab00-464d-bc74-23e6cff87541","Completed","New","18-12-2025 11:35:32","Anonymous","130196",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-18T04:33:20.6692Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"6","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Satisfied","5","Tetap pertahankan, mantap",,"Positive","5","5","4","4","5","5","Petugas ramah dan sopan",,,,"Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik|Toilet memiliki aroma yang wangi",,,,"Lokasi toilet mudah terlihat dan terjangkau",,,,"5829b0a8-f23c-4482-8f31-683cf440015f","Completed","New","18-12-2025 10:16:11","Anonymous","65494",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-18T03:15:06.9406Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"7","API dan IAS","CGK T3","1","TOILET T3 DOM - SCP WANITA","D.S.02.W","5","Satisfied","5","Petugas ramah, toilet bersih","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Petugas ramah dan sopan",,,,"Toilet memiliki aroma yang wangi",,,,"Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih",,,,"81aab8ae-045b-4a30-81c6-8bb51a078250","Completed","New","18-12-2025 09:45:48","Anonymous","117408",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-18T02:43:50.8833Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"8","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 1 (DIFABLE)","DPS-TOILET-DD07-DIFABLE","5","Satisfied","5","Semua tersedia dan bersih","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu penumpang|Jumlah petugas cukup",,,,"Ketersediaan tisu, sabun, air, dan hand dryer|Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik|Toilet memiliki aroma yang wangi|Penerangan dan sirkulasi udara toilet baik",,,,"Lokasi toilet mudah terlihat dan terjangkau|Jumlah toilet mencukupi sehingga tidak ada antrean|Proses penanganan masalah cepat sehingga aktivitas bisa berjalan dengan lancar|Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih",,,,"12ca2ecc-1db9-416e-a6d1-6d12ffbd2555","Completed","New","18-12-2025 08:42:58","Anonymous","61452",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-18T01:41:56.4415Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"9","API dan IAS","CGK T3","1","TOILET T3 DOM - BOARDING ROOM GATE 16 WANITA","D.F.06.W","5","Satisfied","5",,,,"5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu penumpang|Jumlah petugas cukup",,,,"Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik|Ketersediaan tisu, sabun, air, dan hand dryer|Penerangan dan sirkulasi udara toilet baik|Toilet memiliki aroma yang wangi",,,,"Lokasi toilet mudah terlihat dan terjangkau|Jumlah toilet mencukupi sehingga tidak ada antrean|Proses penanganan masalah cepat sehingga aktivitas bisa berjalan dengan lancar|Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih",,,,"c10d1f12-ce17-41b8-9e81-0390896e6346","Completed","New","18-12-2025 08:32:19","Anonymous","60945",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-18T01:31:18.5653Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"10","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-4 PRIA","API&IAS-TOILET-CGK T2-BL D4 TP","5","Satisfied","5","Bersih rapih ramah dan lbh ditingkatkan pg ya","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu penumpang|Jumlah petugas cukup|Lainnya","Oke",,,"Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik|Ketersediaan tisu, sabun, air, dan hand dryer|Toilet memiliki aroma yang wangi|Penerangan dan sirkulasi udara toilet baik|Lainnya","Ok",,,"Lokasi toilet mudah terlihat dan terjangkau|Jumlah toilet mencukupi sehingga tidak ada antrean|Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih|Lainnya|Proses penanganan masalah cepat sehingga aktivitas bisa berjalan dengan lancar","Ok",,,"0d618fb4-7234-445f-a68c-ae53e22b6808","Completed","New","18-12-2025 08:12:50","Anonymous","78800",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-18T01:11:30.3924Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
